property_type,arrondissement,price_m2
Appartement,Al Fida,11808.993809523809
Appartement,Anfa,27195.043600782778
Appartement,Aïn Chock,16409.922754237286
Appartement,Aïn Sebaâ,11879.74894117647
Appartement,Ben M'sik,6769.23
Appartement,Dar Bouazza,16299.24
Appartement,Hay Hassani,17416.240530303032
Appartement,Hay Mohammadi,30812.329999999998
Appartement,Maârif,17662.92284823285
Appartement,Mers Sultan,13649.276999999998
Appartement,Sidi Belyout,14327.607567567567
Appartement,Sidi Moumen,8348.334375
Appartement,Sidi Othman,8671.046666666667
Villa,Al Fida,21547.3725
Villa,Anfa,34764.5501754386
Villa,Aïn Chock,16811.102606382978
Villa,Aïn Sebaâ,13572.613333333333
Villa,Dar Bouazza,21176.47
Villa,Hay Hassani,305221.8385714286
Villa,Maârif,21388.52
Villa,Mers Sultan,18677.04
Villa,Sidi Moumen,12002.062
