property_type,location,quartier_ancfcc,consistance_ancfcc,price_m2,prix_ref_ancfcc_m2,ratio_marche_ancfcc
Villa,Oasis,Hay Hassani,Villa,19645.61,7000.0,2.807
Résidence,Anfa,Maarif,Appartement (fermé et sécurisé),36585.37,19000.0,1.926
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),11404.52,11000.0,1.037
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),13725.49,15000.0,0.915
Appartement,Beauséjour,Maarif,Appartement (fermé et sécurisé),11538.46,19000.0,0.607
Appartement,Roches Noires,Roches Noires,Appartement (fermé et sécurisé),11025.64,13000.0,0.848
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),12500.0,11000.0,1.136
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),28865.98,15000.0,1.924
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),21818.18,19000.0,1.148
Villa,Aïn Sebaâ,Aïn Sebaâ,Villa,13750.0,5500.0,2.5
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),17127.07,19000.0,0.901
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),21818.18,13000.0,1.678
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),21428.57,19000.0,1.128
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),21636.36,19000.0,1.139
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),28358.21,19000.0,1.493
Duplex,Hay Mohammadi,Hay Mohammadi,Appartement (fermé et sécurisé),8039.22,9500.0,0.846
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),11440.57,11000.0,1.04
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),14285.71,15000.0,0.952
Résidence,Californie,Aïn Chock,Appartement (fermé et sécurisé),16913.53,15000.0,1.128
Duplex,Beauséjour,Maarif,Appartement (fermé et sécurisé),12364.34,19000.0,0.651
Studio,Gauthier,Maarif,Appartement (fermé et sécurisé),27380.95,19000.0,1.441
Studio,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),26666.67,19000.0,1.404
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),17391.3,19000.0,0.915
Appartement,Riviera,Aïn Chock,Appartement (fermé et sécurisé),18901.23,15000.0,1.26
Appartement,Sidi Moumen,Hay Mohammadi,Appartement (fermé et sécurisé),7647.06,9500.0,0.805
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),25348.84,19000.0,1.334
Appartement,Finance City,Aïn Chock,Appartement (fermé et sécurisé),24000.0,15000.0,1.6
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),15625.0,19000.0,0.822
Appartement,Anfa,Maarif,Appartement (fermé et sécurisé),15714.29,19000.0,0.827
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),12222.22,19000.0,0.643
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),12601.63,19000.0,0.663
Studio,Belvédère,Maarif,Appartement (fermé et sécurisé),15454.55,19000.0,0.813
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),23214.29,19000.0,1.222
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),25000.0,13000.0,1.923
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),12380.95,15000.0,0.825
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),12800.0,19000.0,0.674
Villa,Sidi Maârouf,Aïn Chock,Villa,10540.54,10000.0,1.054
Studio,Bourgogne,Maarif,Appartement (fermé et sécurisé),26750.0,19000.0,1.408
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),12000.0,19000.0,0.632
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),13284.42,11000.0,1.208
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),13148.15,15000.0,0.877
Studio,Les princesses,Maarif,Appartement (fermé et sécurisé),26250.0,19000.0,1.382
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),17187.5,13000.0,1.322
Studio,Riviera,Aïn Chock,Appartement (fermé et sécurisé),23224.14,15000.0,1.548
Appartement,Sidi Moumen,Hay Mohammadi,Appartement (fermé et sécurisé),7586.21,9500.0,0.799
Appartement,Quartier Bachkou,Roches Noires,Appartement (fermé et sécurisé),13694.27,13000.0,1.053
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),14814.81,19000.0,0.78
Appartement,Les Hôpitaux,Maarif,Appartement (fermé et sécurisé),12686.57,19000.0,0.668
Appartement,Beauséjour,Maarif,Appartement (fermé et sécurisé),11890.24,19000.0,0.626
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),14044.94,19000.0,0.739
Appartement,Gauthier,Maarif,Appartement (fermé et sécurisé),25128.21,19000.0,1.323
Appartement,Maarif,Maarif,Appartement (fermé et sécurisé),11904.76,19000.0,0.627
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),10902.26,15000.0,0.727
Appartement,Mers Sultan,Mers Sultan,Appartement (fermé et sécurisé),11200.0,15000.0,0.747
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),14608.7,15000.0,0.974
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),9753.95,11000.0,0.887
Appartement,Diab Extension,Aïn Chock,Appartement (fermé et sécurisé),13148.15,15000.0,0.877
Appartement,Riviera,Aïn Chock,Appartement (fermé et sécurisé),20207.79,15000.0,1.347
Appartement,Sidi Moumen,Hay Mohammadi,Appartement (fermé et sécurisé),7350.0,9500.0,0.774
Appartement,Palmier,Maarif,Appartement (fermé et sécurisé),25000.0,19000.0,1.316
Appartement,Bourgogne,Maarif,Appartement (fermé et sécurisé),19642.86,19000.0,1.034
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),28444.44,19000.0,1.497
Appartement,Oasis,Hay Hassani,Appartement (fermé et sécurisé),23600.0,13000.0,1.815
Villa,Anfa,Maarif,Villa,18549.75,11000.0,1.686
Villa,Californie,Aïn Chock,Villa,13664.6,10000.0,1.366
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),14052.29,19000.0,0.74
Villa,Anfa,Maarif,Villa,22029.7,11000.0,2.003
Maison,Sidi Maârouf,Aïn Chock,Villa,6400.0,10000.0,0.64
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),5704.7,19000.0,0.3
Appartement,Les princesses,Maarif,Appartement (fermé et sécurisé),15789.47,19000.0,0.831
Appartement,Ain Diab,Aïn Chock,Appartement (fermé et sécurisé),27810.65,15000.0,1.854
Villa,Ain Diab,Aïn Chock,Villa,20205.48,10000.0,2.021
Immeuble,Centre Ville,Sidi Belyout,Construction à usage commercial,10000.0,12000.0,0.833
Appartement,Belvédère,Maarif,Appartement (fermé et sécurisé),6666.67,19000.0,0.351
Appartement,Aïn Sebaâ,Aïn Sebaâ,Appartement (fermé et sécurisé),11645.57,11000.0,1.059
